name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Cat-O-Pillar Coaster,na,Sit Down,,6.0,198.0,,Zierer,Paultons Park,status.operating,50.9482969,-1.5519135
Dino Chase,na,Sit Down,,,,,Zierer,Paultons Park,status.operating,50.9482969,-1.5519135
Flight of the Pterosaur,na,Suspended,,20.0,395.0,,Vekoma,Paultons Park,status.operating,50.9482969,-1.5519135
Velociraptor,na,Sit Down,,200.0,20.0,,Vekoma,Paultons Park,status.operating,50.9482969,-1.5519135
Storm Chaser,Steel,Spinning,60.0,19.0,430.0,0.0,Mack,Paultons Park,status.announced,50.9482969,-1.5519135
Black Hole Scramble,Steel,Sit Down,,,,0.0,Nippon,Space World,status.closed.definitely,53.4235109,-2.8064325
Boogie-woogie Space Coaster,Steel,Sit Down,,,,0.0,Senyo Kogyo,Space World,status.closed.definitely,53.4235109,-2.8064325
Clipper,Steel,Sit Down,32.0,10.0,303.0,0.0,Togo,Space World,status.closed.definitely,53.4235109,-2.8064325
Titan MAX,Steel,Sit Down,115.0,54.0,1530.0,0.0,Arrow,Space World,status.closed.definitely,53.4235109,-2.8064325
Venus GP,Steel,Sit Down,86.0,40.0,1040.0,1.0,Maurer,Space World,status.relocated,53.4235109,-2.8064325
Zaturn,Steel,Sit Down,129.0,63.0,400.0,0.0,Intamin,Space World,status.closed.definitely,53.4235109,-2.8064325
Supersonic Odyssey,Steel,Sit Down,70.0,38.0,800.0,3.0,Intamin,Berjaya Times Square Theme Park,status.operating,3.1422,101.7107194
Superman Escape,Steel,Sit Down,100.0,40.0,760.0,0.0,Intamin,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
Arkham Asylum - Shock Therapy,Steel,Inverted,80.0,33.0,765.0,5.0,Vekoma,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
Road Runner Rollercoaster,Steel,Sit Down,40.0,11.0,335.0,0.0,Vekoma,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
Scooby-Doo Spooky Coaster,Steel,Sit Down,45.0,17.0,530.0,0.0,Mack,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
Green Lantern Coaster,Steel,Sit Down,65.0,33.0,490.0,2.0,S&S,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
DC Rivals HyperCoaster,Steel,Sit Down,115.0,62.0,1400.0,,Mack,Warner Bros. Movie World,status.operating,51.6205817,6.9722008
